userID,itemID,rating
0,188,2
8,117,4
7,53,2
8,94,5
2,121,5
2,45,3
0,117,2
3,33,3
8,55,4
0,16,4
0,128,2
5,211,4
1,172,2
1,115,1
1,164,1
5,124,4
2,171,5
5,130,4
2,129,5
5,212,5
8,144,4
8,208,5
2,20,5
3,21,5
5,140,4
1,190,2
8,163,2
7,194,4
2,114,3
8,95,5
2,19,3
6,66,3
5,208,5
2,156,5
8,8,5
0,143,2
2,97,2
8,5,5
0,189,2
4,209,3
2,201,1
3,202,5
2,132,5
5,194,5
7,107,2
3,12,4
7,53,2
4,136,2
4,208,4
2,150,5
2,55,2
8,156,4
1,180,3
8,60,5
7,30,1
1,97,3
4,53,5
5,122,3
6,21,4
0,10,4
3,78,4
3,74,4
3,43,2
4,118,2
5,119,3
2,123,5
8,41,5
7,27,1
2,132,5
5,211,4
5,201,5
4,7,2
0,106,3
2,68,2
2,189,5
0,197,5
6,207,2
3,203,3
5,46,3
5,142,4
5,12,5
5,86,5
2,120,5
4,133,3
2,20,5
0,157,2
2,135,5
3,84,2
2,22,2
1,12,2
6,190,2
8,90,4
3,71,3
2,145,5
1,147,3
0,140,2
4,67,3
1,31,1
5,162,3
5,150,4
3,104,3
0,140,2
5,201,5
8,185,3
0,45,5
8,196,5
2,61,2
3,196,3
8,146,2
5,142,4
4,109,5
2,152,5
3,103,3
8,183,4
0,59,4
0,46,1
1,114,2
5,196,5
5,66,5
1,181,2
2,160,5
5,105,5
8,159,2
6,78,1
8,167,2
5,118,4
2,168,5
7,111,2
7,104,3
2,117,5
3,198,5
2,173,5
2,149,5
2,35,2
5,206,5
0,84,4
8,6,5
4,86,4
1,163,4
0,111,5
6,126,2
2,125,5
2,151,5
5,136,3
2,178,5
2,55,2
7,50,4
5,27,5
1,163,4
1,19,2
8,156,4
0,153,2
5,121,4
8,89,5
2,168,5
8,154,4
4,168,2
2,25,2
6,208,1
3,101,3
0,87,5
8,117,4
1,180,3
0,153,2
7,5,2
8,195,5
7,5,2
4,93,4
5,96,5
4,199,2
4,84,4
5,123,4
8,93,5
6,85,1
4,45,4
0,57,2
2,27,4
5,69,5
5,60,5
6,7,2
5,164,4
4,164,3
0,62,2
5,151,4
5,170,4
7,197,3
2,17,3
4,37,4
2,191,5
2,49,4
2,202,2
4,34,3
3,111,3
8,61,4
1,209,2
4,102,5
6,96,1
2,164,5
1,121,3
4,42,2
3,210,1
0,157,2
5,157,3
3,72,1
5,86,5
4,56,4
8,12,5
3,112,3
0,8,4
4,103,4
2,201,1
2,125,5
8,103,5
3,77,2
5,199,5
3,60,3
7,66,1
1,122,2
8,178,4
8,21,2
7,116,2
8,40,5
4,185,2
3,93,2
0,108,4
5,155,4
1,173,2
7,103,1
3,110,2
0,112,5
3,93,2
0,5,3
4,78,4
6,45,2
7,93,3
4,41,4
5,37,5
5,55,5
7,48,5
4,19,3
5,61,5
1,208,2
0,184,2
8,119,4
8,78,5
2,167,5
2,197,4
4,187,3
2,191,5
6,27,2
5,210,5
4,56,4
8,164,2
3,21,5
0,74,5
5,177,4
6,52,2
7,14,2
3,65,2
2,155,5
6,100,2
2,48,2
5,169,4
4,150,2
1,154,2
4,23,4
0,101,2
4,104,5
8,167,2
4,77,3
0,158,2
3,210,1
2,151,5
1,49,2
8,94,5
5,174,4
3,198,5
2,121,5
6,152,1
4,198,2
5,155,4
3,63,2
5,138,3
7,91,4
5,48,3
5,158,3
1,136,1
6,95,4
0,70,4
2,183,5
7,76,2
0,165,2
5,121,4
2,98,1
0,114,5
2,12,1
5,44,5
8,54,4
1,197,2
3,107,4
2,177,5
1,180,3
6,203,2
2,151,5
2,142,5
8,152,4
8,210,4
4,5,1
0,197,5
8,106,4
3,37,2
5,11,5
5,141,4
3,25,3
0,209,4
1,82,3
2,129,5
6,114,5
0,147,2
2,202,2
8,139,3
7,144,2
8,210,4
2,143,5
4,99,3
5,187,4
8,56,4
5,124,4
2,15,1
7,27,1
2,145,5
4,53,5
0,203,1
0,149,2
8,67,4
0,171,2
4,80,4
4,175,2
2,121,5
5,129,3
2,168,5
1,59,1
2,164,5
5,62,5
4,177,2
7,84,2
7,75,1
5,123,4
4,200,3
8,85,5
2,172,5
7,85,3
2,195,2
3,198,5
6,56,3
7,210,3
2,115,2
1,173,2
5,203,5
4,21,4
5,3,5
2,125,5
8,70,5
8,38,5
3,106,3
0,13,4
8,102,3
4,84,4
7,200,4
0,137,2
4,46,2
5,137,4
3,205,3
0,25,4
8,59,5
6,64,2
0,142,2
5,137,4
2,59,2
2,176,5
5,124,4
7,93,3
3,209,3
6,29,4
7,13,2
5,72,5
8,117,4
5,49,5
8,71,4
6,107,4
4,32,2
4,183,3
2,105,1
4,155,2
0,149,2
4,211,2
3,12,4
0,45,5
8,165,4
2,3,1
8,104,5
4,189,3
5,171,4
2,163,5
4,9,3
5,144,3
4,167,3
5,125,3
1,209,2
5,12,5
2,200,2
6,24,1
1,184,3
2,179,5
5,155,4
5,192,5
2,151,5
8,8,5
0,26,4
3,94,2
2,149,5
7,35,3
7,30,1
3,72,1
2,146,5
1,161,3
3,209,3
4,66,2
5,167,4
0,4,2
0,149,2
0,130,2
5,151,4
8,27,5
1,113,1
2,0,1
7,52,1
2,122,5
0,143,2
0,191,2
8,189,4
2,36,3
2,126,5
5,201,5
5,74,5
4,175,2
0,165,2
4,166,3
4,33,1
5,125,3
5,30,4
8,136,4
5,205,5
2,168,5
0,7,4
5,187,4
1,161,3
4,115,3
0,1,4
2,75,3
2,137,5
8,132,3
0,98,4
8,77,4
1,60,1
8,133,4
2,174,5
4,102,5
2,73,3
2,36,3
3,108,4
6,54,1
1,112,1
1,41,1
8,160,4
0,178,2
5,64,5
3,71,3
2,164,5
2,108,2
2,125,5
2,94,5
2,52,4
8,79,5
3,48,4
5,120,4
8,47,5
4,8,3
7,71,1
8,201,2
5,201,5
0,3,2
1,173,2
0,152,2
8,164,2
3,17,3
0,2,2
8,30,2
2,143,5
4,64,4
0,173,1
5,170,4
0,71,2
8,3,5
5,114,4
0,73,5
8,25,5
8,153,4
2,170,5
7,96,3
6,87,3
6,78,1
2,188,5
8,131,2
2,63,4
1,20,1
1,122,2
5,209,5
6,88,4
5,14,5
2,145,5
1,69,2
3,52,3
3,97,4
2,135,5
2,164,5
5,12,5
5,171,4
0,153,2
5,68,5
3,3,4
0,81,5
8,168,3
1,138,2
3,38,3
8,129,4
2,200,2
5,135,4
1,41,1
7,106,5
4,25,4
5,209,5
3,34,1
7,45,1
8,146,2
2,193,1
2,44,4
2,153,5
2,162,5
0,156,2
8,184,4
1,205,2
7,63,1
4,27,3
7,108,2
7,56,2
3,20,4
4,21,4
3,67,2
1,55,1
8,212,3
1,164,1
0,97,3
3,66,2
4,42,2
2,71,5
8,17,4
2,77,3
8,18,2
2,162,5
3,27,2
4,58,5
3,38,3
