method,summary,golden,source
SumyRandom,"Open-ended search methods that will be developed in this project are aligned with methods desirable in GoodAI's Badger architecture. Neural Networks as CA Rules Complex computational systems, cellular automata (CA) are governed by a few simple rules. Our goal is to accelerate the progress towards general AI in a safe manner by putting emphasis on community-driven research, which in the future might play a key role in preventing the monopolization of AI technology (see AI race). https://gerardmaggiolino. ",Policy Learning with Neural Cellular Automata,"Sebastian Risi, IT University of Copenhagen. Summary Sebastian Risi of IT University of Copenhagen receives a GoodAI grant for his work with neural cellular automata (NCA) to grow neural network policies. Open-ended search methods that will be developed in this project are aligned with methods desirable in GoodAI's Badger architecture. Risi and GoodAI share the important research goal of scaling to more complex tasks. GoodAI's Grants program has awarded Sebastian Risi with funding for his research project with Neural Cellular Automata (NCA). An extension of previous work with NCA to generate 3D structures of varying complexity (Sudhakaran et al. , 2021), Risi now sets out to apply the algorithm to grow neural network policies that will adapt to different circumstances in complex reinforcement learning (RL) tasks and in a self-organized way. Once a policy is developed for the single cell (the update rule), adaptation during the agent's lifetime will not rely on the more general (but slower) RL algorithms or evolutionary algorithms (EAs), instead learning by itself through the update rule. Neural cellular automata will be trained to evolve and represent policies (behaviors) instead of rigid structures or bodies. These policies should grow to adapt to (= learn to solve) an arbitrary given task, without the need to encounter the task in the NCA training phase. Neural Networks as CA Rules Complex computational systems, cellular automata (CA) are governed by a few simple rules. Used to understand how complexity can emerge from a network of identical nodes, cellular automata serve as test beds of more advanced models. A well-known example of CA is the Game of Life. Invented by British mathematician James Conway in the 1970's, the Game of Life is a zero-player game. Its evolution is determined by its initial state without input from human players. One interacts with the game by creating an initial configuration and observing how it evolves. CA whose rules are represented by neural networks can be seen to implement ontogenetic dynamics analogous to the developmental process of living organisms. Starting from a single cell, they develop complex functional bodies with specialized organs without the need to explicitly encode all the information in the genome. Risi proposes to train the parameters of the NCA with evolutionary algorithms and gradient descent-based approaches. He points out that optimizing an NCA to grow a neural network can be a very deceptive search space, even as early results have been promising with the NCA agent being able to solve several OpenAI gym (Getting Started with Gym, n. d. ) and pyBullet (Maggiolino, 2019) tasks. One of the grant goals is to evaluate the learned learning policies on continual learning tasks. Scalability and open-ended searches The NCA approach fits very well into GoodAI's Badger architecture. Like Badger agents, every cell within the growing neural network consists of sub-agents with a shared policy that only communicate locally. Complementing the CA approach where agents connect on a 2D grid, the agents in Risi's system will operate directly on a neural network graph representation, trying to learn both how to grow a policy neural network and adapt it. Illustration of a 'Badger' agent. A single agent comprises a number of experts (blue/pink circle) that operate according to the same fixed and shared policy (blue circle). Each expert has its own unique internal state (pink circle). By changing the seed from which the neural network grows, there's potential to grow neural networks that perform different tasks, all from the same NCA. Integrating this ability within the Badger architecture could bring new directions for continual and lifelong learning, as well as aid the system to scale to more complex tasks. Elements of active research such as open-ended search methods, self-play, and auto curricula are critical for Risi's system to develop NCAs that generalize well. These same problems are key for the development of Badger architecture and are a marker that this grant project is a good match for GoodAI's Badger architecture research. To date, most of what we consider general AI research is done in academia and inside big corporations. We believe that humanity's ultimate frontier, creation of general AI, calls for a novel research paradigm, to fit a mission-driven moonshot endeavor. GoodAI Grants is part of our effort to combine the best of both cultures, academic rigor and fast-paced innovation. We aim to create the right conditions to collaborate and cooperate across boundaries. Our goal is to accelerate the progress towards general AI in a safe manner by putting emphasis on community-driven research, which in the future might play a key role in preventing the monopolization of AI technology (see AI race). If you are interested in Badger Architecture and the work GoodAI does and would like to collaborate, check out our GoodAI Grants opportunities or our Jobs page for open positions! For the latest from our blog sign up for our newsletter. References Shyam Sudhakaran, Djordje Grbic, Siyan Li, Adam Katona, Elias Najarro, Claire Glanois, Sebastian Risi ""Growing 3D Artefacts and Functional Machines with Neural Cellular Automata"". Proceedings of the 2021 Conference on Artificial Life (ALIFE 2021) Openai. (n. d. ). Getting Started with Gym. gym. openai. https://gym. openai. com/docs/ Maggiolino, G. 2019, October 22. Creating OpenAI Gym Environments with PyBullet Part 1. gerardmaggiolino. medium. com. https://gerardmaggiolino. medium. com/creating-openai-gym-environments-with-pybullet-part-1-13895a622b24"
SumyRandom,"If you can expand a little bit on the problem of optimization and the fixation of society as a whole on optimization. If you were trying to design AI agents that convey information to one another through some mechanism, it seems likely that they will have a much more limited communication medium, because that's the only thing we know how to implement. Ted Chiang: Yes, yes, and again, it's always the element of surprise. It is not simply that the program performs better than you expected on a certain test. ",A Conversation with Ted Chiang,"Ted Chiang shares his thoughts with GoodAI's Olga Afanasjeva on the limits of framing learning in terms of optimization and how we can draw inspiration from biological models of adaptation. An acclaimed author whose reach transcends the science fiction world, Chiang's prose blends a broad view of science and technology with a deeper philosophical inquiry into the human condition. His upcoming talk at the 2022 ICLR workshop on collective learning will focus on his novella, The Lifecycle of Software Objects, a narrative tracing the lives of Ana and Derek as they care for primitive artificial intelligences called digients. At its heart, the tale speaks to the complex relationship between society, individuals, and emerging technology. Poignant and compelling, the story raises important questions around responsibility, consent, and choices on the path of AI development. This interview has been edited for clarity. Transcript: Olga Afanasjeva: Why do you think that we're not close to an AI, which is human-like at the moment? If you can expand a little bit on the problem of optimization and the fixation of society as a whole on optimization. You refer to it in some of your interviews - what is the problem with optimization? Maybe not just in society on a whole, but in AI development? How do you see it? Ted Chiang: There are a couple of informal laws that people have coined: one is Goodhart's Law, which states that once a measure becomes a target, it ceases to be a good measure. And there are other laws which express similar sentiments, like Campbell's Law, which states that once you use quantitative social indicators for decision making, it becomes subject to your corruption pressures and it becomes a poor indicator of social processes. One commonly discussed example of this phenomenon is standardized testing and how it's intended to measure how good of an education a school provides, but it loses its usefulness when it becomes possible for teachers to teach to the test. I think there's this analogy to a lot of what has happened in the history of AI. A lot of AI programs are essentially standardized-test-taking machines; their entire development was a form of teaching to the test. In the history of AI, people have often said that people keep moving the goalposts for what qualifies as AI, that as soon as AI solves a problem, critics say, well, that wasn't really AI, real AI means doing this other thing. I don't think that's moving the goalposts. I'd say a more accurate way to think about it is that people are recognizing the ways in which AI programmers have been teaching to the test. People initially thought a certain task would be a good way to measure an AI's ability and proposed it as a standardized test, but then AI programmers found a way to teach to the test. And so in this sense, we aren't moving the goalposts; we are just trying to identify a test that the programmers have not already studied extensively. When people criticize the role of standardized testing in education, they're not saying that tests are useless or that tests have no inherent value. What they're saying is that our current tests are too easy to game. A lot of AI research is built around teaching to the test - whenever you define an objective function, whenever you define a loss function, you are basically establishing a single, extremely well-specified test, and you are building a machine that will score high on that test. This insistence on optimization is a misguided focus on a test. The question is, how do you actually gauge whether a school is providing a good education? You need some sort of testing, but it has to be a test that is hard to teach to, and one of the ways that you might do that is to create a test which is very unpredictable. What would that look like in AI? The researcher Francois Chollet has proposed something he calls the ARC, the Abstraction and Reasoning Corpus. It's a test where the developers know the format of the test, because they have to be able to code their AI to understand the inputs and deliver an output, but the developers have no access to the questions that the AI will be tested on. And that's a really interesting idea; it seems like a type of test which traditional optimization techniques are not applicable to. I think it's going to be very hard to define an objective function because all the developers will ever get is a final score back; they won't know what the specific questions were that their AI either answered correctly or incorrectly. What they'll have to do is come up with some more general problem-solving mechanism and hope that it works. And developers will probably try to optimize around the format of the inputs and the outputs, so it would be interesting if a lot of people started offering tests of this sort with very different input and output formats, because that would force the developers to generalize what sorts of inputs their program could accept and what sort of outputs it could generate. If you had a lot of these tests, you might have a really good indicator of an AI's general problem-solving ability. You would have to, by analogy, provide your AI with a really good education, the kind we want schools to provide, and then hope they have the skills to accomplish whatever task is thrown at them. More broadly, there is the question of viewing things in terms of an objective function or a loss function, which leads to a kind of all-consuming or totalizing way of thinking. It can be very tempting to think of the world as just an optimization problem to be solved: if we could just define the appropriate objective function, we could solve everything in the world. I am super skeptical about that. I don't think that most aspects of life can be accurately characterized as an optimization problem. Right now, we as a society have already collectively arrived at a certain objective function, which is profit. A lot of people have internalized the idea that profit is the ultimate good: if something generates the maximum profit, that is by definition the best outcome. I think that's why AI and capitalism fit together really well - they share this underlying worldview. The goal of profit is so pervasive that it's hard for us to shake, and the people who resist that idea face an immense amount of pressure to conform. I'm not saying that everyone in AI is working to maximize profit, but they are following the same underlying worldview, the idea that once you have defined your objective function correctly, which often means pricing things appropriately, you will know how to obtain the best result. However, I would maintain that most of the outcomes that we want are not the result of maximizing an objective function. What is a good school? What is a good healthcare system? What is a good public transit system? What is a good society? What is a good life? The idea that these can be achieved by maximizing an objective function is not a healthy worldview. Olga Afanasjeva: Right. One thing I discussed with my colleague relating to that, about defining the goals as a function you can optimize, and let's say it's happiness - as humans, we have this adaptation to whatever is our best possible state. We feel happy about something, but after a while, it becomes the baseline, right? He said something that I really liked - that it's probably not about reaching the objective, but it's about moving on the gradient, that change of state from feeling miserable to feeling better. This is what's actually going to make us truly happy. What are your thoughts on that, maybe moving on the gradient, rather than optimizing or reaching the objective? Ted Chiang: That's an interesting idea; I'll have to think about that. It seems like it could be formulated as its own kind of objective function that you would then optimize for. It would be interesting because it would clearly not be maximizing anything like more conventional objective functions like profit; before long, you would have to abandon profit and then move in a different direction. So there would be this constant shifting of goals, or the quantity that you're trying to optimize. Would that make people happier? I think that's something that deserves experimental investigation. We could learn a lot just through empirical testing. Are people actually reliably happier over the long term if they keep seeking out this gradient, this shift? That is definitely an interesting idea that warrants further study. Olga Afanasjeva: Okay. Coming back to the objective function, what should be the question the developer isn't asking - well, if a developer isn't asking a specific question and doesn't know the specific question that AI is supposed to answer, then the test becomes meaningful, as Chollet says in his paper. If the developer doesn't know the question that AI should answer, doesn't know the goal, or presumably doesn't know all the future possible goals that we would want the AI to solve - what are the questions that we as developers need to ask ourselves when we develop AI? What kind of features do we want to seek in AI? Where would you start? Where would you look for inspiration? Ted Chiang: My personal preference has always been to look to biological models and the ways in which animals demonstrate intelligence. Animals are not like humans, but they are constantly solving problems, oftentimes problems which they have never encountered before. That sort of general problem-solving ability - even if it's not on the same level as human problem-solving ability - seems like a good place to start. There were recent experimental results published where they taught mice how to drive, did you see this? They put these mice in these little carts and inside each cart were these contacts, and when the mouse put its paws on them, the cart would go forward or turn left or right. The mice could see a food dispenser and tried to get their carts to go toward it, and the scientists found that the mice became quite good at driving. The mice were trained three times a week for eight weeks, and after that they were proficient, so that's twenty-four trials. Twenty-four trials and they learned a skill which no mouse has ever encountered before in the evolutionary history of the species. I thought that was really impressive. And more recently someone has apparently taught fish to do something similar; I was really surprised that fish are capable of that. Obviously these are not radically unfamiliar problems for animals, because they are still navigating physical space and seeking food as a reward, so it's not as if they're proving the Pythagorean theorem, but they were able to apply their general learning skills to a situation unlike anything seen in their natural environments. Do we have any program that could do anything like that, that could learn a new skill after twenty-four trials? Most AI programs need more like twenty-four million trials. Personally I would be much more impressed if AI researchers built a program that could learn a skill that the developers had never thought of within twenty-four trials. That would impress me more than AlphaGo or AlphaZero. I feel like it would involve a major breakthrough in our ability to implement a generalized learning mechanism. Olga Afanasjeva: Yes, for us, we look at it from the perspective of self-improving AI. What you just described, a lot of researchers will call it learning to learn. And I think that is basically a form of self-improvement that we find in humans and in human intelligence. We can learn how to learn better, we obviously have intrinsic capabilities, or innate capabilities that allow us to learn in the first place and we build new stuff on top of the stuff that we learned already. This makes us more powerful learners. It brings me to one of your thoughts about self-improvement, and correct me if my quote is not precise: that self-improvement isn't really possible on the level of a single individual. This is why we don't really have to worry about runaway doomsday scenarios in AI. Rather, it's a feature which is powerfully demonstrated in collectives, on the level of societal cultures. Can we talk a little bit about the mechanisms behind this powerful cumulative cultural learning that happens on the level of societies, on the level of civilizations that allows us as a humanity to self-improve. What can we learn from that as AI developers? Ted Chiang: I should say upfront that the whole topic of collective learning is not something that I am super well-versed in and is something that I'm hoping to learn more about by attending this workshop. It seems to me that the big advantage that humans have in collective learning is that we have language and that we are able to communicate to others what we have learned. Language isn't an absolute requirement because individuals can teach each other through demonstration, and we see this in social animals to some extent, but we haven't seen societies of animals ratchet upward over time in their capabilities. We've seen a few skills spread through a population, but the process doesn't continue indefinitely, and animals' lack of language may be a gating factor, because language is closely tied to the capacity for abstract thought. To what extent could we envision AI agents engaging in a similar form of collective learning? If you could design AI agents that were fully capable of communicating in language, I think you would definitely see collective learning. But short of that, if you had AI agents that were able to demonstrate things to each other in a way that the other agent would pick it up very rapidly - much more readily than they could by just messing around by themselves - I think that would be a setting suitable for collective learning. But it seems to me that those are very difficult tasks. This ties back into what I was talking about earlier about the unpredictability of tests. One of the things that characterizes human language is that you can express anything in language. Something similar is true with physical demonstration. You can't enumerate all the things that one person can demonstrate to another, any more than you can enumerate all the things that one person can express to another using language. I feel like the endless capacity for expression is a big part of what enables collective learning and the ever growing sophistication of culture among humans. The open-endedness of these communication methods is crucial. If you were trying to design AI agents that convey information to one another through some mechanism, it seems likely that they will have a much more limited communication medium, because that's the only thing we know how to implement. We don't know how to implement AI agents that generate novelty in their utterances. But I could imagine that in a simplified communication mechanism, you could create a sort of society of AI agents that did exhibit collective learning in the ways that we see in troops of monkeys, where one agent discovers the equivalent of, for example, washing potatoes in water to get the sand off and then teaching everyone else. That would be impressive. That would, I think, be a really interesting and momentous development in AI. Olga Afanasjeva: Yes. Especially if we can figure out how to make sure that this kind of cultural effect is cumulative. Another aspect that's interesting about collectives is this emergent aspect. So even when we were talking earlier about the goals, in a collective for example, there isn't one single entity that sets a goal for everyone to optimize. It depends on your beliefs, of course, but let's say the way we look at societies as an organism which produces different types of goals - sometimes they're conflicting, they influence one another - there's no need for someone to actually impose the goal, but still, meaningful goals can emerge. Silly goals can emerge as well obviously, but somehow we end up also making progress along the way. So this is interesting, the emergent property of collectives and what's at its core. Ted Chiang: Yes, yes, and again, it's always the element of surprise. The behavior which no one expected or predicted, or was trying to achieve, that is a really powerful indicator of the kind of intelligence that I think is really interesting. It is not simply that the program performs better than you expected on a certain test. It is that it's doing things which never occurred to you that it might do. Things which your prior experience - any test that you might have thought to devise - would not be applicable. We could see novelty like that, in say, a system of AI agents. These agents would not be necessarily useful or commercially viable or practical in any sense, not for a very long time. But a breakthrough like that would be really, really exciting. I think that would be much more interesting than the high performing but extremely predictable neural net achievements that we see talked about a lot these days. Olga Afanasjeva: I agree, Ted. Thank you so much. This is a beautiful note on which we can conclude. Thank you. Ted Chiang: Thanks for having me. Workshop: Cells to Societies: Collective Learning Across Scales Date: April 29 2022 Website: https://sites. google. com/view/collective-learning/home References: https://en. wikipedia. org/wiki/Ted_Chiang https://subterraneanpress. com/the-lifecycle-of-software-objects For the latest from our blog, sign up for our newsletter. "
SumyRandom,"GoodAI has allocated €20,000 from its grant program to the ESET Foundation, a nonprofit organization dedicated to education, research, and science in Slovakia. The funding is intended to support the endeavors of scientists Miroslav Baláž and Martin Venhart in their respective fields of biology and physics. Baláž and Venhart both studied and worked abroad for several years before returning to Slovakia to make contributions in their home country. A basic building block of the human body is carbon-12, whose atomic nucleus is very strongly deformed. ",GoodAI Supports Slovak Scientific Research,"GoodAI Research has provided funding to the ESET Foundation to support the research of scientists Miroslav Baláž and Martin Venhart. The donation is a contribution to the general advancement of science in Slovakia. GoodAI has allocated €20,000 from its grant program to the ESET Foundation, a nonprofit organization dedicated to education, research, and science in Slovakia. The funding is intended to support the endeavors of scientists Miroslav Baláž and Martin Venhart in their respective fields of biology and physics. Baláž and Venhart both studied and worked abroad for several years before returning to Slovakia to make contributions in their home country. Miroslav Baláž's research seeks to understand how metabolic activation of fat cells occurs and identify the molecular pathways and key genes that control the metabolic activity of brown adipose tissue. This natural physiological mechanism could be used to increase energy expenditure, particularly in obese patients. The acquired knowledge holds promise for new therapeutic options in the treatment and prevention of obesity, potentially leading to improved metabolic health, and offering insight into associated diseases. Martin Venhart and his team have been working on the structure of atomic nuclei and its properties to understand the phenomena of nuclei deformation. As he explains, this 'deformation' is one of the most basic properties of the atomic nucleus and a potential key factor in our very existence. A basic building block of the human body is carbon-12, whose atomic nucleus is very strongly deformed. Central to Venhart's research are new types of decay discovered in gold isotopes as well as the properties of radiation emitted by atomic nuclei. Mapping their behavior could bring knowledge for the field of nuclear medicine and the treatment of cancer. Funding for Baláž and Venhart's work comes from the GoodAI Grants initiative which, to date, has provided over $770,000 to researchers and research groups worldwide. In accordance with the program's ethos of community and collaboration, the donation departs from the standard Badger-focused research profile to acknowledge the value and role of science for the benefit of the public and society. ""Basic science needs support from the private sector as well as from the government. It's a long-term investment into our future, and yet its funding is often underserved. We want to send a message that this is important and we hope that others will follow,"" states founder Marek Rosa. For the latest from our blog, sign up for our newsletter. "
SumyRandom,"What sort of difference is there between that and novelty search? And then again, you want to cluster them and instantiate through them. Mayalen Etcheverry: That's a good question. Is there some kind of objective measure? ",A Conversation with Mayalen Etcheverry,"Discovering new forms of self-organized agencies. Example of identified pattern in Lenia, a generalisation of Conway's Game of Life (link to paper in references). Mayalen Etcheverry is a Machine Learning researcher at Inria, University of Bordeaux. A second year PhD candidate, she is part of a long-term research program working on autonomous developmental learning at the frontiers of AI and cognitive sciences. Together with her team, the FLOWERS group, they leverage ML techniques along with developmental psychology and neuroscience to find applications in robotics, human-computer interaction, automated discovery and educational technologies. Etcheverry speaks with GoodAI Research Scientist, Nicholas Guttenberg, about developing curiosity-driven models aimed at enabling agents to generate their own self-organizing learning curricula. Her upcoming talk at the ICLR 2022 workshop will address how metadiversity search, curriculum learning, and external guidance (environmental or preference-based) can be key ingredients for shaping the search process. This interview has been edited for clarity. Transcript: Nicholas Guttenberg: All right, well, welcome. This is an interview with Mayalen Etcheverry who is going to be giving an invited talk at the Cells to Societies' workshop at ICLR. Mayalen is a second year PhD candidate at Inria with the FLOWERS group, if I have that right. Mayalen Etcheverry: Yes. Nicholas Guttenberg: The topic of the research involves things such as curious AI, open-endedness, metadiversity search and automated goal generation, and intrinsic motivation. So I'm curious - you talk about the potential for open-endedness in your workshop abstract. Do you want to say what sort of things you intend by that or where you see that happening? Mayalen Etcheverry: Oh, yeah, sure. Well, first, thank you for inviting me to this workshop. When I'm talking of an open-ended system, in general, we mean a system whose behavior is not convergent over time. It's a system which keeps surprising you and producing new and interesting outcomes. From our computer's perspective, if we were able to design, come up with a computer program or an AI that would fit this description, well, I guess it would be very desirable, of course, across many practical domains. One sort of open-endedness that I'm really interested in in my work and for which I believe that AI can play a big role is with respect to our scientific discovery practice in complex systems. There are many complex systems that are studied by scientists at the bench - chemists are trying to discover new drugs or new materials. Biologists are trying to bio-engineer functional tissues or organs. Then you also have computer scientists, like my team, who are exploring complex numerical systems such as models of cellular automata - for instance, to inform about theories about the original life or intelligence. I'm talking about complex systems because I think that they are great candidates for open-endedness in the sense that they offer us unbounded possibilities for emergence. But at the same time, they're very hard to explore and navigate for us humans. I always take the example of the Game of Life as a good example. It's a very simple numerical system where we know all the rules. It's fully deterministic and it was created more than 50 years ago. But players are still discovering new and increasingly complex patterns in it - running it for hours, for instance, on supercomputers. It's a good example of how our discovery practice is really difficult in the system. I think that the same trend holds for chemical and synthetic biology systems. There is even this sort of trend or low, which is actually interesting. I think it's the reverse of Moore's law. Even though we have this exponential increase in technology, research, and computation - we are getting better and better at doing chemical tests and running them massively in parallel - but paradoxically, instead of any exponential increase, or making discovery much faster and cheaper, it's actually much slower and much harder. So that's, I think, a very interesting tendency. You could even say that as a society, we're starting to converge to this extreme. I'm not saying that scientific discovery is not open-ended. But I think that maybe we are reaching a point where the range of problems or scientific challenges that we are trying to tackle are so complex, that we really need new tools to help us tackle them to avoid this convergence point and to unlock new possibilities. So I think that that's what I mean when I talk about open-endedness - discovering the system, unlocking the possibility for discovery in complex systems. Nicholas Guttenberg: You had some recent work with Lenia where you were able to use this method to discover all sorts of behaviors that would be quite hard to hand-design. Mayalen Etcheverry: Exactly. We are working mainly on numerical systems so far, especially Lenia. In our latest work, we were able with machine learning tools to discover new forms of self-organized agencies - which really look like small life forms - that are moving around in the cellular automaton. And that's something that has been really hard to find by hand or by random exploration or by optimization methods. It's really not an easy problem. Nicholas Guttenberg: I wonder if I should show some of the some of the videos from your recent work - we can include a link. One of the things I'm curious about with regards to open-endedness is a lot of the examples you gave, you have a purpose in mind - like drug discovery - there's a demand on the human side of what we want that to find. But at the same time, for the system, there's something more innate to the system that it wants to discover, some way that it's going to have the most success following, or even things where it has to do something we wouldn't know as important in order to get to interesting states. Do you find any kind of tension between those things in your work? Or do you have any way of resolving that? Mayalen Etcheverry: Sure, so indeed, there's this problem that - especially when we are using machine learning programs - at the moment, we tend to strongly define the tasks that we want our system to be solving. So we are trying at the same time to get away from this too strong task specification that you do, typically, in optimization where you only define, for instance, a scalar reward and you want your system to converge to the peak in the fitness landscape. So we have been proposing - in previous works - some ways to escape these strong constraints. But at the same time, as you said, we don't want the system to go randomly and do things that are not interesting for us. Because at the end, we as human, we are evaluating discoveries. And so we want something that fits our preferences - it's not easy to manage balance where humans have preferences, but at the same time, we don't know how to define them and to compute a quantity out of it. And so we introduced a paper, for instance, this metadiversity paper. We have kind of this interactive thing where the agent should boldly explore the space, but at the same time show its discovery, for instance, periodically to a human, and then the human could give some feedback to guide back inspiration. Nicholas Guttenberg: So you mentioned, metadiversity - and there's flat diversity, equality diversity, where it's just trying to explore the space. But with this metadiversity idea, do you want to explain that? What sort of difference is there between that and novelty search? Mayalen Etcheverry: Yeah, sure. So this metadiversity idea, it's something that we came up with when we were trying in practice how to formulate exactly this problem of making an open-ended form of discovery assistance in complex systems. As you mentioned, the first idea or first family of machine learning algorithms that came to our mind was more like this novelty search type of algorithms - algorithms that come from evolutionary or developmental robotics. That seemed to be a good fit with respect to this optimization method because instead of trying to optimize the fitness, it would try to optimize the novelty of the discoveries. So we started with that, but then quite a critical part and well known critical part, is that they still assume - at least in their standard definition - that you have some sort of oracle representation. So that will basically, from your system's raw observation, describe the interesting degrees of behavioral variation in your outcome. So I like to see this representation as taking a lens from the system. It's like putting on a pair of glasses and only looking at those few factors of variation that can emerge in your system and then trying to find the most novelty and diversity within that lens. And so I guess a single lens makes sense, or were more successful for simpler physical systems like robotics. We have some experiments in the FLOWERS team where, for instance, you would put a torso robot with the arm that could be on a table and it could manipulate, for instance, a discrete set of objects in the room. And so here it makes sense to look at, instead of looking at the raw image, you could look at the position of the objects. And then if you would find novelty in this behavioral space, it means that your robot would learn to grasp objects and move them around. So it would make sense to look at this only through this lens of the system. But in the context of Lenia where we have this raw video of pixels, there is no one unique lens that you should use. There are tons of lenses that you can use to describe the system. And so it's not trivial first to define one lens and not trivial also to know the impact that using this lens will have on your flat novelty-search like discovery. To test that, we did this interesting experiment where we tried to run the same equivalent of a novelty search algorithm, but with different lenses. So one lens was hand-defined with statistics from the original Lenia paper, or we have one lens for which we would use Fourier descriptors. Then we also used unsupervised-learned lens in the sense that we pre-trained a VAE on a big database of Lenia patterns. And we even tried a VAE that was trained online so the lens would not be so static anymore, but it would be fixed in capacity. And so we ran the algorithm and we had two striking results coming out. If you ran the algorithm using lens A and you projected in the space of lens A, indeed, it's going to be very diverse for our set of final discoveries. So it shows that the novelty search is very efficient at finding new solutions. At least in a system like Lenia, but in a given state space. But if you take the same discoveries and project them through lens B, then they would achieve a very poor diversity because obviously, the variation that makes them diverse in space A will disappear. So here it will have missed potentially other types of interesting types of diversity. And that was the point of this research experiment. The metadiversity came very naturally as this idea was that your open-ended system should not try to find new solutions within its existing state or view of the system, but that it should continuously try to extend it and incorporate other degrees of variation that could emerge in the system. That was the intuitive idea behind the metadiversity. In this paper, we formulated it as a bi-level exploration loop where you have an agent in an outer loop who is trying to learn that divergent feature spaces and extend this module - a set of modules - feature space to characterize the system, which would be the lens. And then in an inner loop, we'll run some novelty search in each of those spaces. And also something that we emphasize that's very important, as you say, is to put some human in the loop to try to prioritize the state space that for the human would be interesting. So that's how we formulated metadiversity. Nicholas Guttenberg: So the relationship between the levels - it's like if I imagined, let's say, you just took every single pixel, you'd have this huge dimensional space. You would never really fill it. Or everything would be diverse automatically because everything would be different in some pixels and they wouldn't necessarily be meaningful differences. But when you construct the space, hierarchically, do you find that the kind of lenses you get are special in some way you wouldn't have been able to get if you tried to jump straight to them? Do the lenses themselves tell you something about the system? Mayalen Etcheverry: So first of all, you could say that why not train right away the huge dimensional space of pixels. But that's known to not be efficient for a novelty search type of algorithm. You need lower dimensional spaces. And then defended in this paper, we built them hierarchically. But that was one possible implementation of meta diversity search and I guess there are many other ways that you can do so. But the intuition about doing it hierarchically was that, first you don't know anything about the system. So you actually want some kind of VAE-like, some coarse compression of it that right away gives you the main factors of variation. Maybe the average intensity or the coarse form of the pattern or something like that. And then you probably want to cluster the discoveries, to start separating them into niches that seem to be more related between them. And then you want to instantiate a new lens per niche, so probably you will have this niche of texture looking patterns with very high frequencies and in another you won't have just the coarse description, but you want to go more in details and start seeing that you have some zebra patterns, or wave-like patterns. And then again, you want to cluster them and instantiate through them. You can have this coarse grain view that seems meaningful, but there are maybe other ways that's a good construct of lens progressively. Nicholas Guttenberg: So it's like each niche you're trying to find the thing about that niche that wants to vary, and then you just ask it to vary more or to vary completely? Mayalen Etcheverry: Yeah, that's it. Nicholas Guttenberg: Do you think that this resolves the lazy way that a lot of intrinsic motivated systems will just fill up entropy from the bottom? Because you're saying, here's the direction that you already want to vary and you can explore this, but I'm not going to give you every direction. It's going to be the top two directions at a time. And then when those are done, you have to find another split before you get to have another direction of entropy to fill up? Mayalen Etcheverry: That's a good question. So I guess it depends on the system. In Lenia, as I told you, we had very strong results that generating diversity in some direction was not driving diversity along other dimensions - for instance, we have a very striking example where we use this Fourier descriptor. Basically, we were characterizing frequencies in the image. At the end of the exploration, we would only have discoveries in Lenia that were purely vertical stripes. So that was interesting. The intrinsically-motivated system had exploited the fact that you're searching for diverse frequencies, but it would only show you vertical stripes. So indeed, with all kinds of frequencies, but intuitively it's not what you expected of diversity. Even if you have all kinds of frequencies, you wanted to have some other types, maybe wavy forms or localized patterns. So you could say some sort of lazy indeed problem for intrinsically-motivated system. And once again, it shows the importance of having good goal spaces, a good way to characterize the system. Nicholas Guttenberg: Along those lines, do you have some idea? Is there a standard by which you could say this is a good goal for a system to have, or this is a bad goal for a system to have? Is there some kind of objective measure? Or does it really have to be constructed from within the system's point of view? Mayalen Etcheverry: So what is a good goal once you're in this task space that you define? I guess so at least in the FLOWERS team where we're working a lot in this intrinsically-motivated goal setting system and we generally say that good goals should be around two dimensions. First, as we discussed, a good goal should be novel and interesting. So it should be this kind of creative goal. And the other dimension is that it should be feasible, it should be learnable. So it should not be too easy or too hard. Personally, in my work I've used very basic strategies for all of these dimensions. For novelty, I was simply uniformly sampling in the goal space, with the intuition that if you manage to uniformly cover the space then you should reach maximum diversity. Then for the interesting part, well, we use this basic scoring system where you would add some human that could score the state spaces that he is interested in, and so you would prioritize goal sampling in those spaces. And for the feasible part, we either didn't implement - I mean, I in my work, I didn't implement any smart thing. Or in our latest work that you mentioned at the beginning, we have this curriculum, basic curriculum idea where we sample goals not too far from the set of goals that we had already reached. But there are, for the three dimensions, many other and more advanced strategies that have been proposed, especially in the FLOWERS team. For novelty, you could have count-based estimation or you could train some generative model distribution and try to sample inversely proportional to the probability of sampling in the distribution. There are colleagues in my team that are trying to incorporate language in the goal sampling strategy such that a human could somehow communicate goals. That would be very cool. And for the curriculum, you have also more advanced strategies of automatic curriculum learning where, for instance, there is this idea of learning progress. So you can empirically estimate how good you're doing across different goal regions, and then you would sample toward the goals of intermediate difficulty that are not too easy or are not too hard. Nicholas Guttenberg: Oh, great. Well, thank you for your answers and for giving us the time to have this interview and I look forward to your talk. Mayalen Etcheverry: Thank you Nicholas. It was a pleasure. Nicholas Guttenberg: Thanks. Original interview: https://www. youtube. com/watch?v=87vRvmkJ9o8 Workshop: Cells to Societies: Collective Learning Across Scales Date: April 29 2022 Website: https://sites. google. com/view/collective-learning/home References: http://developmentalsystems. org/intrinsically_motivated_discovery_of_diverse_patterns For the latest from our blog, sign up for our newsletter. "
