data,method,aggregator,metric,P,R,F1,H,J,KLD,C
mcti_data_noticias,SumyRandom,Avg,Gensim,,,,0.46,0.84,2.24,
mcti_data_noticias,SumyRandom,Avg,SKLearn,,,,,,,0.71
mcti_data_noticias,SumyLuhn,Avg,Gensim,,,,0.49,0.76,2.47,
mcti_data_noticias,SumyLuhn,Avg,SKLearn,,,,,,,0.84
mcti_data_noticias,SumyLsa,Avg,Gensim,,,,0.47,0.82,2.26,
mcti_data_noticias,SumyLsa,Avg,SKLearn,,,,,,,0.71
mcti_data_noticias,SumyLexRank,Avg,Gensim,,,,0.48,0.8,2.38,
mcti_data_noticias,SumyLexRank,Avg,SKLearn,,,,,,,0.81
mcti_data_noticias,SumyTextRank,Avg,Gensim,,,,0.5,0.75,2.53,
mcti_data_noticias,SumyTextRank,Avg,SKLearn,,,,,,,0.86
mcti_data_noticias,SumySumBasic,Avg,Gensim,,,,0.47,0.85,2.35,
mcti_data_noticias,SumySumBasic,Avg,SKLearn,,,,,,,0.74
mcti_data_noticias,SumyKL,Avg,Gensim,,,,0.48,0.84,2.36,
mcti_data_noticias,SumyKL,Avg,SKLearn,,,,,,,0.71
mcti_data_noticias,SumyReduction,Avg,Gensim,,,,0.49,0.76,2.41,
mcti_data_noticias,SumyReduction,Avg,SKLearn,,,,,,,0.86
mcti_data_noticias,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.45,0.93,2.23,
mcti_data_noticias,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.54
mcti_data_noticias,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.48,0.94,2.35,
mcti_data_noticias,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.51
mcti_data_noticias,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.47,0.96,2.37,
mcti_data_noticias,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,, 0.47, 0.96, 2.37,
mcti_data_noticias,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,, 0.43
