data,method,aggregator,metric,P,R,F1,H,J,KLD,C
mcti_data_oportunidades,SumyRandom,Avg,Gensim,,,,0.46,0.83,2.24,
mcti_data_oportunidades,SumyRandom,Avg,SKLearn,,,,,,,0.67
mcti_data_oportunidades,SumyLuhn,Avg,Gensim,,,,0.47,0.73,2.22,
mcti_data_oportunidades,SumyLuhn,Avg,SKLearn,,,,,,,0.83
mcti_data_oportunidades,SumyLsa,Avg,Gensim,,,,0.47,0.81,2.31,
mcti_data_oportunidades,SumyLsa,Avg,SKLearn,,,,,,,0.69
mcti_data_oportunidades,SumyLexRank,Avg,Gensim,,,,0.5,0.78,2.44,
mcti_data_oportunidades,SumyLexRank,Avg,SKLearn,,,,,,,0.8
mcti_data_oportunidades,SumyTextRank,Avg,Gensim,,,,0.46,0.73,2.18,
mcti_data_oportunidades,SumyTextRank,Avg,SKLearn,,,,,,,0.85
mcti_data_oportunidades,SumySumBasic,Avg,Gensim,,,,0.44,0.85,2.13,
mcti_data_oportunidades,SumySumBasic,Avg,SKLearn,,,,,,,0.73
mcti_data_oportunidades,SumyKL,Avg,Gensim,,,,0.47,0.83,2.35,
mcti_data_oportunidades,SumyKL,Avg,SKLearn,,,,,,,0.69
mcti_data_oportunidades,SumyReduction,Avg,Gensim,,,,0.49,0.73,2.3,
mcti_data_oportunidades,SumyReduction,Avg,SKLearn,,,,,,,0.84
mcti_data_oportunidades,Transformers-facebook/bart-large-cnn,Avg,Gensim,,,,0.46,0.92,2.28,
mcti_data_oportunidades,Transformers-facebook/bart-large-cnn,Avg,SKLearn,,,,,,,0.54
mcti_data_oportunidades,Transformers-google/pegasus-xsum,Avg,Gensim,,,,0.43,0.94,2.03,
mcti_data_oportunidades,Transformers-google/pegasus-xsum,Avg,SKLearn,,,,,,,0.51
mcti_data_oportunidades,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,,0.48,0.96,2.33,
mcti_data_oportunidades,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,Gensim,,,, 0.48, 0.96, 2.33,
mcti_data_oportunidades,Transformers-csebuetnlp/mT5_multilingual_XLSum,Avg,SKLearn,,,,,,, 0.42
